Th-232(n,g) ENDFB-8.0
Energy(eV) XS(b)
22.0473 47.3400
22.0517 44.3177
22.0561 41.6010
22.0604 39.1604
22.0648 36.9632
22.0692 34.9850
22.0736 33.1910
22.0779 31.5672
22.0823 30.0866
22.0867 28.7386
22.0911 27.5021
22.0954 26.3670
22.0998 25.3219
22.1042 24.3589
22.1086 23.4649
22.1129 22.6363
22.1173 21.8629
22.1217 21.1422
22.1293 20.0017
22.1368 18.9773
22.1444 18.0520
22.1519 17.2115
22.1595 16.4448
22.1671 15.7425
22.1746 15.0969
22.1822 14.5017
22.1897 13.9514
22.1973 13.4416
22.2049 12.9681
22.2124 12.5277
22.2200 12.1172
22.2275 11.7342
22.2351 11.3763
22.2426 11.0419
22.2514 10.6803
22.2602 10.3451
22.2689 10.0336
22.2777 9.74389
22.2952 9.22271
22.3127 8.77033
22.3302 8.37671
22.3477 8.03457
22.3652 7.73718
22.3827 7.47965
22.4050 7.20247
22.4272 6.97541
22.4495 6.79274
22.4718 6.64995
22.4941 6.54353
22.5164 6.47079
22.5386 6.42974
22.5609 6.41898
22.5776 6.43026
22.5943 6.45790
22.6111 6.50185
22.6278 6.56223
22.6445 6.63928
22.6612 6.73338
22.6779 6.84508
22.6946 6.97507
22.7113 7.12422
22.7280 7.29358
22.7447 7.48441
22.7614 7.69821
22.7782 7.93673
22.7949 8.20204
22.8116 8.49654
22.8283 8.82284
22.8458 9.20285
22.8633 9.62598
22.8808 10.0974
22.8983 10.6229
22.9158 11.2104
22.9333 11.8678
22.9508 12.6062
22.9683 13.4374
22.9771 13.8931
22.9858 14.3777
22.9946 14.8940
23.0033 15.4449
23.0121 16.0341
23.0208 16.6638
23.0296 17.3387
23.0383 18.0630
23.0471 18.8430
23.0559 19.6826
23.0646 20.5895
23.0734 21.5713
23.0821 22.6386
23.0909 23.7998
23.0996 25.0690
23.1084 26.4619
23.1179 28.1460
23.1275 30.0317
23.1322 31.0634
23.1370 32.1592
23.1418 33.3307
23.1466 34.5809
23.1513 35.9242
23.1561 37.3655
23.1609 38.9230
23.1657 40.6042
23.1704 42.4323
23.1752 44.4183
23.1800 46.5875
23.1848 48.9645
23.1887 51.1275
23.1927 53.4740
23.1967 56.0251
23.1987 57.3846
23.2007 58.8045
23.2027 60.2880
23.2047 61.8388
23.2066 63.4606
23.2086 65.1576
23.2106 66.9338
23.2126 68.7938
23.2146 70.7423
23.2166 72.7737
23.2186 74.9137
23.2206 77.1577
23.2226 79.5115
23.2245 81.9811
23.2265 84.5729
23.2285 87.2933
23.2305 90.1495
23.2325 93.1331
23.2345 96.2818
23.2365 99.5889
23.2385 103.063
23.2405 106.712
23.2424 110.545
23.2444 114.571
23.2464 118.800
23.2484 123.220
23.2499 126.715
23.2514 130.317
23.2529 134.053
23.2544 137.928
23.2559 141.975
23.2574 146.144
23.2589 150.467
23.2603 154.950
23.2618 159.628
23.2633 164.446
23.2648 169.439
23.2663 174.613
23.2678 180.010
23.2693 185.565
23.2708 191.318
23.2723 197.275
23.2751 209.000
23.2779 221.458
23.2806 234.779
23.2834 248.908
23.2854 259.572
23.2874 270.710
23.2894 282.340
23.2914 294.477
23.2936 308.437
23.2958 323.051
23.2980 338.340
23.3001 354.247
23.3023 370.940
23.3045 388.367
23.3067 406.546
23.3089 425.408
23.3111 445.142
23.3133 465.682
23.3155 487.043
23.3176 509.239
23.3198 532.285
23.3220 556.192
23.3242 580.971
23.3264 606.513
23.3286 633.060
23.3308 660.501
23.3351 717.948
23.3395 779.125
23.3439 843.723
23.3483 911.972
23.3527 983.617
23.3570 1058.50
23.3614 1136.25
23.3658 1216.96
23.3702 1300.16
23.3745 1385.50
23.3789 1472.38
23.3877 1649.73
23.3964 1828.15
23.4052 2002.99
23.4139 2169.24
23.4191 2261.49
23.4243 2347.68
23.4286 2415.33
23.4330 2477.31
23.4374 2533.32
23.4418 2582.72
23.4461 2624.95
23.4505 2659.74
23.4561 2692.83
23.4617 2712.76
23.4674 2719.18
23.4684 2718.86
23.4714 2715.10
23.4745 2707.19
23.4807 2679.17
23.4854 2647.40
23.4900 2607.01
23.4946 2559.72
23.4991 2505.21
23.5049 2426.05
23.5106 2337.13
23.5152 2261.20
23.5197 2180.77
23.5288 2009.47
23.5379 1828.81
23.5469 1644.36
23.5610 1363.48
23.5680 1229.20
23.5750 1101.14
23.5795 1022.08
23.5841 946.387
23.5886 874.245
23.5931 805.944
23.5977 741.276
23.6022 680.573
23.6067 623.571
23.6113 570.488
23.6158 521.024
23.6203 475.301
23.6249 432.999
23.6294 394.164
23.6317 375.924
23.6339 358.470
23.6362 341.782
23.6385 325.907
23.6407 310.682
23.6430 296.155
23.6453 282.306
23.6475 269.166
23.6498 256.599
23.6521 244.638
23.6544 233.264
23.6566 222.498
23.6589 212.224
23.6612 202.468
23.6634 193.209
23.6657 184.463
23.6680 176.132
23.6702 168.235
23.6725 160.753
23.6748 153.696
23.6770 146.983
23.6793 140.629
23.6816 134.615
23.6838 128.948
23.6861 123.563
23.6884 118.469
23.6906 113.651
23.6929 109.114
23.6952 104.804
23.6974 100.727
23.6997 96.8712
23.7020 93.2398
23.7042 89.7888
23.7065 86.5238
23.7110 80.5218
23.7156 75.1286
23.7201 70.2976
23.7246 65.9439
23.7292 62.0223
23.7337 58.4822
23.7383 55.2859
23.7428 52.3797
23.7473 49.7419
23.7519 47.3303
23.7564 45.1288
23.7609 43.1043
23.7655 41.2451
23.7700 39.5251
23.7745 37.9363
23.7791 36.4579
23.7836 35.0846
23.7881 33.7999
23.7927 32.6003
23.7997 30.8878
23.8067 29.3283
23.8137 27.9014
23.8207 26.5901
23.8277 25.3805
23.8347 24.2608
23.8417 23.2212
23.8487 22.2545
23.8558 21.3508
23.8628 20.5054
23.8698 19.7130
23.8768 18.9687
23.8838 18.2686
23.8908 17.6088
23.8978 16.9863
23.9048 16.3988
23.9139 15.6834
23.9230 15.0168
23.9320 14.3939
23.9411 13.8106
23.9502 13.2637
23.9592 12.7500
23.9683 12.2667
23.9774 11.8116
23.9865 11.3818
23.9955 10.9764
24.0137 10.2303
24.0318 9.56040
24.0500 8.95640
24.0607 8.62692
24.0714 8.31593
24.0928 7.74399
24.1143 7.23098
24.1357 6.76893
24.1572 6.35119
24.1786 5.97216
24.2000 5.62710
24.2215 5.31211
24.2396 5.06617
24.2578 4.83753
24.2759 4.62446
24.2940 4.42557
24.3122 4.23950
24.3303 4.06536
24.3485 3.90205
24.3666 3.74868
24.3848 3.60438
24.4029 3.46858
24.4210 3.34056
24.4392 3.21971
24.4755 2.99742
24.5117 2.79811
24.5480 2.61859
24.5843 2.45638
24.6206 2.30924
24.6569 2.17536
24.6932 2.05313
24.7294 1.94129
24.7657 1.83867
24.8020 1.74429
24.8350 1.66489
24.8680 1.59101
24.9010 1.52208
24.9339 1.45769
24.9669 1.39739
24.9999 1.34087
25.0329 1.28781
25.0659 1.23795
25.0989 1.19102
25.1319 1.14682
25.1648 1.10511
25.1978 1.06573
25.2638 0.993248
25.3298 0.928180
25.3661 0.895180
25.4023 0.863988
25.4749 0.806484
25.5475 0.754746
25.6200 0.708031
25.6926 0.665690
25.7652 0.627197
25.8377 0.592085
25.9103 0.559972
25.9631 0.538302
26.0158 0.517929
26.0686 0.498746
26.1214 0.480674
26.1742 0.463634
26.2269 0.447557
26.3325 0.417920
26.4380 0.391218
26.5436 0.367119
26.6491 0.345305
26.7547 0.325494
26.8273 0.312908
26.8998 0.301087
26.9724 0.289970
27.0450 0.279502
27.1175 0.269631
27.1901 0.260314
27.3352 0.243180
27.4804 0.227814
27.6255 0.213981
27.7706 0.201482
27.9157 0.190151
28.0081 0.183483
28.1005 0.177197
28.2852 0.165664
28.4699 0.155351
28.6546 0.146095
28.8393 0.137805
29.0240 0.130258
29.2087 0.123405
29.3935 0.117171
29.5386 0.112663
29.6837 0.108458
29.8289 0.104531
29.9740 0.100864
30.1191 0.0974309
30.2643 0.0942104
30.4094 0.0911903
30.5545 0.0883530
30.8448 0.0831673
31.1350 0.0785610
31.4253 0.0744522
31.7156 0.0707731
31.9399 0.0681904
32.1642 0.0658099
32.3885 0.0636121
32.6128 0.0615805
32.8371 0.0597193
33.0613 0.0579883
33.2856 0.0563614
33.5099 0.0548609
33.9585 0.0521624
34.4071 0.0498318
34.8557 0.0478242
35.3043 0.0461148
35.7265 0.0447844
35.9376 0.0442529
36.1487 0.0438753
36.2543 0.0437868
36.3928 0.0438833
36.4621 0.0440971
36.5313 0.0445362
36.5660 0.0449068
36.6006 0.0454614
36.6352 0.0463634
36.6526 0.0470543
36.6699 0.0480177
36.6872 0.0494004
36.7045 0.0514228
36.7218 0.0544085
36.7391 0.0588091
36.7478 0.0617256
36.7565 0.0652367
36.7651 0.0694432
36.7738 0.0744481
36.7824 0.0803790
36.7911 0.0873511
36.7997 0.0954859
36.8084 0.104890
36.8154 0.113524
36.8224 0.123120
36.8294 0.133723
36.8364 0.145363
36.8434 0.158059
36.8505 0.171816
36.8575 0.186617
36.8645 0.202427
36.8715 0.219189
36.8785 0.236823
36.8855 0.255222
