energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
49.43523,0.17675488,1.0610995e-05,0.00107536043,0,0.0305345597,0.0179971871,0,0,0.059082522,1.87226079e-06,0.000212202113,0,0,0.00116155334,0.000524424505,0.0304523236,0,0,0.000550134643,8.44455751e-10
50.26775,0.17675476,1.05261484e-05,0.00107534437,0,0.030275296,0.0180020845,0,0,0.0590823466,1.85597768e-06,0.000169469734,0,0,0.000630431887,0.000762024607,0.0298479675,0,0,0.000266026341,9.00350293e-10
51.74091,0.176754568,1.03831092e-05,0.00107532067,0,0.0298482403,0.0180107506,0,0,0.059082066,1.83109591e-06,0.000232678948,0,0,0.000513716351,0.00115220692,0.0288571892,0,0,0.000242344165,1.00821269e-09
53.43767,0.176754347,1.02183591e-05,0.00107529374,0,0.0293638188,0.0180207337,0,0,0.0590817428,1.80243753e-06,0.000200804528,0,0,0.000212745749,0.000558704555,0.0277766266,0,0,0.00023605316,1.1537659e-09
54.76237,0.176754175,1.00930311e-05,0.00107527396,0,0.0290113802,0.018028534,0,0,0.0590814905,1.78006326e-06,0.000151282731,0,0,0.000619208164,0.000910545857,0.0269325976,0,0,0.000243195162,1.29326125e-09
56.24083,0.176753982,9.96593448e-06,0.00107525189,0,0.0286180334,0.0180372396,0,0,0.0590812089,1.75509198e-06,0.000246349671,0,0,0.00103789774,0.00296737422,0.0259398365,0,0,0.000266092986,1.49127128e-09
57.56955,0.176753809,9.85171032e-06,0.00107523235,0,0.028292662,0.0180450635,0,0,0.0590809801,1.73605477e-06,0.00020939117,0,0,0.000210093906,0.000629072159,0.0249436928,0,0,0.000311550804,1.73364869e-09
58.67593,0.176753664,9.75659975e-06,0.00107521609,0,0.0280218991,0.0180515782,0,0,0.0590807898,1.72022283e-06,0.000252680671,0,0,0.000378887694,0.00104784502,0.0239807734,0,0,0.000370982315,2.01414523e-09
60.20742,0.176752392,9.63411933e-06,0.00107519373,0,0.0276626014,0.0180606007,0,0,0.0590805263,1.69830771e-06,0.000222253456,0,0,0.000152725654,0.000860383178,0.022290623,0,0,0.000512196617,2.62821088e-09
62.06235,0.176749271,9.49240144e-06,0.0010751668,0,0.0272431903,0.0180715337,0,0,0.0590802072,1.67176428e-06,0.000212296333,0,0,2.11859493e-05,0.000207096527,0.0190842388,0,0,0.00098493597,4.27682981e-09
63.53013,0.176748471,9.38602004e-06,0.00107514578,0,0.0269356387,0.0180801877,0,0,0.0590799736,1.65362523e-06,0.000195019169,0,0,4.13642492e-05,0.000473295929,0.0141556438,0,0,0.00553838582,8.41634001e-09
64.33806,0.176748381,9.32874219e-06,0.00107513427,0,0.0267720369,0.0180849519,0,0,0.0590798495,1.64431057e-06,0.000245548706,0,0,0.00103040712,0.000315578975,0.00899335213,0,0,0.00513794954,1.61283577e-08
65.06741,0.176748299,9.27703524e-06,0.00107512389,0,0.0266243472,0.0180892527,0,0,0.0590797375,1.63590186e-06,0.000209096095,0,0,2.13961756e-05,6.18222943e-05,0.00246466535,0,0,0.0177441605,4.85040461e-08
65.47376,0.176748254,9.24822723e-06,0.0010751181,0,0.0265420633,0.0180916489,0,0,0.059079675,1.63121704e-06,0.000197598329,0,0,9.35018429e-05,0.000100394707,0.120776731,0,0,0.166787299,4.00354201e-07
66.16948,0.176748175,9.19947321e-06,0.0010751082,0,0.0264011834,0.0180957514,0,0,0.0590795682,1.62319605e-06,0.0002005831,0,0,0.000185083733,0.00019077396,2.9508915,0,0,2.61153989,6.03200201e-06
66.75923,0.176748129,9.16007785e-06,0.0010750998,0,0.026281762,0.0180992291,0,0,0.0590794776,1.6163968e-06,0.000203793366,0,0,7.4818825e-05,7.19103103e-05,0.136860682,0,0,0.0444126826,9.36476746e-08
