energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
4.6516559398745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.729604241282962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.808858730804001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.889441296373015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.971374192703896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.054680047435189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1393818673792175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.22550304487595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.313067364253323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.40209900839583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.49262256542317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.584663035480824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.678245837644413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.773396816939756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.870142251480562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.968508859725732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.068523807858274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.170214717287859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.273609672279106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.378737227707689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.485626416946426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.594306759883497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.704808271075043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.817161468034363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.931397379660027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.047547554805212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.16564407099064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.285719543263513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.407807133204903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.531940558088085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6581541001903215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.786482616260708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.916961547146645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.049626927581649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.184515396137158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.321664205341115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.461111231966097,0.0,0.0,7.112088054959502e-08,7.112088054959502e-08,0.0,0.0,0.0,0.0
8.602894987489861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.747054628731147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.89362996866375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.04266148741177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.194190343429113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.348258384866359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.504908161128057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.664182934623742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.826126692715814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.990784159867655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.158200809995321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.3284228790262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.501497377668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.677472104392347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.856395658634428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.038317454215807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.223287732990705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.411357578721528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.602578931186804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.797004600525543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.994688281821972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.195684569934638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.400048974574041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.607837935632901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.819108838773317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.033920031275134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.252330838149863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.474401578524663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.700193582300816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.929769207091386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.163191855442713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.400525992344447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.64183716303304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.887192011093562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.136658296864834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.39030491615301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.648201919258705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.910420530322998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.1770331669976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.44811346044463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.723736275671573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.003977732206913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.28891522512231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.578627446407005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.87319440670041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.172697457388878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.47721931307272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.786844074409753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.10165725134162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.421745786709288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.747198080264297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.078104013082406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.41455497238625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.75664387678405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.104465201931184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.458115006621796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.817690959317634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.1832923651214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.55502019320216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.932977104680255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.317267480979496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.707997452654524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.10527492870114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.50920962635785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.9199131014068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.337498778982415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.762081984896387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.193779977487473,0.0,0.0,0.0,0.0,2.297345712465695e-08,2.297345712465695e-08,0.0,0.0
26.632711980005105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.07899921353559,0.0,0.0,0.0,0.0,2.2222449083151914e-08,2.2222449083151914e-08,0.0,0.0
27.53276493048006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.9941344485935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.463235185594023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.940196694352235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.425150698670194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.918231129659944,0.0,0.0,0.0,0.0,2.0113544769327625e-08,2.0113544769327625e-08,0.0,0.0
30.41957416273167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.929318255201604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.447604184530192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.97457508720102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.51037649825119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.05515639146416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.609065220236054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.17225595912683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.74488414610771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.327107925516465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.91908809173266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.52098813358465,0.0,0.0,0.0,0.0,1.6477146758582047e-08,1.6477146758582047e-08,0.0,0.0
37.13297427950074,0.0,0.0,0.0,0.0,1.6205587969227307e-08,1.6205587969227307e-08,0.0,0.0
37.75521554341704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
