filename,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006818543553037,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006977250767366,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0007139652022759,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0007305833301063,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0007475882585422,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0007649889906862,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0007827947391954,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0008010149311591,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0008196592130899,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000838737456031,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000858259760782,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0008782364632471,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0008986781399072,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0009195956134196,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0009409999583475,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000962902507024,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0009853148555515,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0010082488699411,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0010317166923953,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0010557307477362,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.001080303749984,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0011054487090879,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0011311789378147,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0011575080587966,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.001184450011744,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0012120190608252,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.001240229802219,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0012690971718424,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0012986364532578,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0013288632857653,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0013597936726827,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0013914439898179,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0014238309941395,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0014569718326482,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0014908840514552,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.001525585605072,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0015610948659161,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0015974306340382,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0016346121470754,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0016726590904371,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0017115916077263,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0017514303114052,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0017921962937082,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0018339111378084,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0018765969292454,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0019202762676177,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0019649722785482,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0020107086259275,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0020575095244429,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0021053997523985,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0021544046648338,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0022045502069476,0.0
